cp_category,cp_model,group_key,art_print,pp,product_id,rank,image_url
Чёрные софт-тач,Google Pixel 10,A:501927,S501927,ПП2,3277084299,25,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W501927.webp
Чёрные софт-тач,Google Pixel 10,A:501930,S501930,ПП2,3277084475,28,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W501930.webp
Чёрные софт-тач,Google Pixel 10,A:501941,S501941,ПП2,3277084660,5,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/S501941.webp
Чёрные софт-тач,Google Pixel 10,A:501942,S501942,ПП2,3277084016,6,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/S501942.webp
Чёрные софт-тач,Google Pixel 10,A:501947,S501947,ПП2,3277084692,16,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W501947.webp
Чёрные софт-тач,Google Pixel 10,A:501949,S501949,ПП2,3277082938,2,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W501949.webp
Чёрные софт-тач,Google Pixel 10,A:501953,S501953,ПП2,3277082717,14,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W501953.webp
Чёрные софт-тач,Google Pixel 10,A:501954,S501954,ПП2,3277084071,12,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W501954.webp
Чёрные софт-тач,Google Pixel 10,A:501955,S501955,ПП2,3277082947,13,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W501955.webp
Чёрные софт-тач,Google Pixel 10,A:501961,S501961,ПП2,3277084307,18,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W501961.webp
Чёрные софт-тач,Google Pixel 10,A:501962,S501962,ПП2,3277082538,17,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W501962.webp
Силиконовые чехлы,Google Pixel 10 Pro,A:501930,W501930,ПП2,3346346891,103,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W501930.webp
Силиконовые чехлы,Google Pixel 10 Pro,A:501941,C501941,ПП2,3346342741,30,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/S501941.webp
Силиконовые чехлы,Google Pixel 10 Pro,A:501942,C501942,ПП2,3346341615,33,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/S501942.webp
Чёрные софт-тач,Google Pixel 10 Pro,A:501943,S501943,ПП2,3277085025,4,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/S501943.webp
Чёрные софт-тач,Google Pixel 10 Pro,A:501944,S501944,ПП2,3277085190,3,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/S501944.webp
Силиконовые чехлы,Google Pixel 10 Pro,A:501945,C501945,ПП2,3346341871,93,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W501945.webp
